route,method_surface,source_auth_observation,tenant_scope_observation,runtime_verified,notes
/api/audit,POST,withRole+withAuth+rate+idempotency,getTenantId,NO,canonical enqueue path
/api/audit/batch,POST,auth source,tenant-scoped jobs,NO,enqueue path
/api/audit/batch/[batchId],GET,source route,tenant-scoped jobs,NO,batch status route
/api/audit/[id],GET/PATCH,source route,tenant query,NO,live matrix required
/api/audit/[id]/diagnose,POST,tenant helper,tenant query,NO,degraded returns 200
/api/audit/[id]/propose,POST,withAuth source,tenant query,NO,split proposal inputs
/api/worker/audit-job,POST,worker secret,job tenant,NO,worker deployment unverified
/api/v1/audit,POST,source auth,tenant-scoped,NO,versioned API
/api/public/audit,POST,public route,public/token context,NO,public audit path
/api/client/scan,POST/GET,token/auth inconsistent,tenant context inconsistent,NO,missing-token concerns
/api/client/export/[auditId],GET,token optional,tenant context inconsistent,NO,raw export risk
/api/client/improvement/[auditId],GET,token optional,tenant context inconsistent,NO,previous audit ownership gap
/api/proposal/token/[token],GET/PATCH,GET public; PATCH auth,public lookup then tenant,NO,primary public projection
/api/proposal/token/[token]/status,PATCH,no auth wrapper,public token only,NO,public lifecycle mutation blocker
/api/proposal/token/[token]/accept,POST,public token,context inconsistent,NO,acceptance/payment mismatch
/api/proposal/token/[token]/contact,POST,public token,context inconsistent,NO,public mutation
/api/proposal/token/[token]/email,POST,public token,context inconsistent,NO,external send risk
/api/proposal/token/[token]/pdf,GET,public token publication check,tenant entered after lookup,NO,expiry mismatch
/api/proposal/token/[token]/share,POST,public token,context inconsistent,NO,tracking mutation
/api/proposal/token/[token]/track,POST,public token,context inconsistent,NO,synthetic engagement risk
/api/presentation/[token]/export,GET,public token publication only,context inconsistent,NO,no rate limit observed
/api/stripe/checkout-proposal,POST,source route,proposal tenant,NO,checkout state gate verify
/api/stripe/webhook,POST,Stripe signature,handler tenant mapping,NO,payment/fulfillment discontinuity
/api/onboarding/provision,POST,CSRF/rate limit,creates tenant,NO,does not verify checkout session
/api/pipeline/prospects/[id],GET,public source,raw x-tenant-id possible,NO,IDOR risk
/api/predictions,GET/POST,withRole path,header/context risk,NO,tenant context risk
/api/tenants/[tenantId]/offboard,POST/DELETE,Bearer API key,route tenant authority,NO,wildcard scope risk
/api/health,GET,public,global counts/provider checks,NO,disclosure/resource risk
/api/metrics,GET,public,global,NO,operational disclosure
/api/upload,POST,source route,storage scope unknown,NO,file/security test required
/api/widget/quick-audit,POST,public/widget,tenant attribute/origin,NO,origin allowlist runtime required
/api/auth/register,POST,public registration,tenant creation,NO,rate/plan abuse test required
/api/admin/feature-flags,UNKNOWN,source-specific admin,global/admin,NO,source inventory only
/api/admin/hallucination-telemetry,UNKNOWN,source-specific admin,global/admin,NO,source inventory only
/api/admin/human-review,UNKNOWN,source-specific admin,global/admin,NO,source inventory only
/api/admin/metrics,UNKNOWN,source-specific admin,global/admin,NO,source inventory only
