capability,primary_state,maturity,evidence_class,release_scope,blocker
audit creation,IMPLEMENTED_NOT_INTEGRATED,IMPLEMENTED,REPRODUCED_LOCAL_EVIDENCE,narrow core,YES
27-module audit engine,WORKING_WITH_LIMITATIONS,IMPLEMENTED,REPRODUCED_LOCAL_EVIDENCE,narrow core,YES
durable audit queue,IMPLEMENTED_NOT_INTEGRATED,IMPLEMENTED,TEST_EVIDENCE,narrow core,YES
evidence snapshots,WORKING_WITH_LIMITATIONS,IMPLEMENTED,REPRODUCED_LOCAL_EVIDENCE,narrow core,YES
finding integrity,WORKING_WITH_LIMITATIONS,IMPLEMENTED,TEST_EVIDENCE,narrow core,YES
diagnosis LangGraph,WORKING_WITH_LIMITATIONS,IMPLEMENTED,REPRODUCED_LOCAL_EVIDENCE,narrow core,YES
proposal compiler,WORKING_WITH_LIMITATIONS,IMPLEMENTED,TEST_EVIDENCE,narrow core,YES
proposal QA,PARTIALLY_IMPLEMENTED,IMPLEMENTED,TEST_EVIDENCE,narrow core,YES
hosted/PDF proposal,WORKING_WITH_LIMITATIONS,IMPLEMENTED,SOURCE_ONLY,narrow core,YES
outreach,PARTIALLY_IMPLEMENTED,IMPLEMENTED,SOURCE_ONLY,controlled only,YES
checkout/billing,PARTIALLY_IMPLEMENTED,IMPLEMENTED,SOURCE_ONLY,controlled only,YES
onboarding,PARTIALLY_IMPLEMENTED,IMPLEMENTED,SOURCE_ONLY,controlled only,YES
fulfillment,EXTERNAL_GATE,IMPLEMENTED,SOURCE_ONLY,not in current GA,YES
retention,PARTIALLY_IMPLEMENTED,IMPLEMENTED,SOURCE_ONLY,not in current GA,NO
self-improvement,PARTIALLY_IMPLEMENTED,IMPLEMENTED,SOURCE_ONLY,not in current GA,NO
multi-tenancy,WORKING_WITH_LIMITATIONS,IMPLEMENTED,TEST_EVIDENCE,narrow core,YES
white-label,NOT_EVIDENCED,SPECIFIED,DOCUMENTED_CLAIM,future,YES
self-serve,NOT_EVIDENCED,SPECIFIED,DOCUMENTED_CLAIM,future,YES
full autonomous agency,NOT_IMPLEMENTED,ASPIRATIONAL,HISTORICAL,future,YES
