businessName,placeId,website,phone,address,rating,reviewCount,category,vertical
Westend Dental,ChIJMQEgbWj3BFMR_VSl7W3_qPw,https://westend-dental.ca/,(306) 978-1700,"3110 Laurier Dr #10, Saskatoon, SK S7L 5J7, Canada",4,191,Dentist,dentist
Saskatoon Dental Group,ChIJiZpBhGf3BFMRS4x2_qiTsbI,https://www.saskatoondentalgroup.com/,(306) 382-5566,"411 Confederation Dr #3, Saskatoon, SK S7L 5C3, Canada",4.5,132,Dentist,dentist
Fairhaven Dental,ChIJuW9QY1z3BFMRcn2gbj_7bIw,https://www.fairhavendental.ca/,(306) 384-7191,"3310 Fairlight Dr #5, Saskatoon, SK S7M 4Z1, Canada",4.7,131,Dentist,dentist
West 14 Dental,ChIJafcBr_L5BFMR_1xZAAu3hDU,https://www.west14dental.com/,(306) 933-2114,"279 Kensington Blvd #60, Saskatoon, SK S7L 4Y7, Canada",4.9,748,Dentist,dentist
Associated Midtown Dental,ChIJdxXRGNH2BFMRRJTXqVIU6CA,http://associatedmidtowndental.ca/,(306) 975-0328,"402 - 201 1 Ave S, Saskatoon, SK S7K 1J5, Canada",4.9,391,Dentist,dentist
Cuelenaere LLP,ChIJ-VmUNNH2BFMRjcGM6ybnJwk,https://cuelenaere.com/,(306) 653-5000,"450 2nd Ave N #200, Saskatoon, SK S7K 2C3, Canada",4.2,123,Consultant,law-firm
Scharfstein LLP,ChIJR5gIFtf2BFMR__JyDpS0vlI,http://www.scharfsteinlaw.com/,(306) 653-2838,"#200 - Princeton Tower, 123 2 Ave S, Saskatoon, SK S7K 7E6, Canada",3.9,53,Consultant,law-firm
Leland Kimpinski LLP,ChIJ82w-MNf2BFMRfLRqkPTpEZU,http://www.lelandlaw.ca/,(306) 244-6686,"336 6th Ave N, Saskatoon, SK S7K 2S4, Canada",4.5,43,Attorney,law-firm
W Law LLP,ChIJR5gIFtf2BFMR-u6wbhROKNw,https://wlaw.com/,(306) 244-2242,"122 1 Ave S #1100, Saskatoon, SK S7K 7E5, Canada",3.9,36,Consultant,law-firm
Gabruch Legal Group,ChIJabK4ytD2BFMRQwf6nkhILEo,https://www.gabruchlegal.ca/,(306) 651-5060,"333 25 St E #200, Saskatoon, SK S7K 2L8, Canada",4.9,30,Consultant,law-firm
MWK Heating & Cooling LTD,ChIJD8yzh073BFMRuNBuRAlQBsc,https://www.mwkheatingandcooling.com/,(306) 220-7584,"110 Carling Pl, Saskatoon, SK S7M 4C2, Canada",5,223,General Contractor,hvac
Furnaceguys Heating & Air Conditioning,ChIJWbRumOH2BFMR4PI5yukSG6s,https://www.furnaceguys.com/?utm_source=google&utm_medium=gmb&utm_campaign=furnaceguys-gmb&se_campaign=furnaceguys%20-%20GMB,(306) 518-7924,"3069 Faithfull Ave Unit B, Saskatoon, SK S7K 8B3, Canada",4.9,1802,General Contractor,hvac
Five Star Plumbing Heating & Air Conditioning,ChIJVXcFI_v2BFMRse8JBtub1Yk,http://www.fivestarheating.ca/,(306) 934-7002,"2270 Northridge Dr, Saskatoon, SK S7L 1B9, Canada",4.9,131,General Contractor,hvac
Efficiency Heating & Cooling,ChIJvwobyYn2BFMRMUJ1qwJtKHc,https://www.efficiencyheating.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(306) 384-4328,"4003 Millar Ave, Saskatoon, SK S7K 2K6, Canada",4.9,246,General Contractor,hvac
"Reliance Gregg's Heating, Air Conditioning & Plumbing",ChIJycqWKFb3BFMRV6H7tHnXHak,https://reliancehomecomfort.com/saskatoon/?utm_source=google&utm_medium=organic&utm_campaign=gmb-saskatoon,(866) 767-1698,"503 51st St, Saskatoon, SK S7K 6V4, Canada",4.7,2573,Services,hvac
Loqui,ChIJKYKl1Rv3BFMR24RJCoZNBRs,http://www.loqui.ca/,(306) 955-8255,"312 Avenue C S, Saskatoon, SK S7M 1N4, Canada",4.7,446,Restaurant,restaurant
The Rabbit Hole,ChIJh5OZVe3xBFMRNIU-EsajR7I,http://therabbitholeyxe.com/,(306) 952-1184,"2404 Melrose Ave, Saskatoon, SK S7J 0V5, Canada",4.5,245,Bar & Grill,restaurant
Filosophi Wise Cuisine,ChIJhzZBImH3BFMRdm5WbQqLlXE,http://www.filosophi.ca/,(306) 956-7777,"414 Cumberland Ave N, Saskatoon, SK S7N 1M6, Canada",4.8,1936,Restaurant,restaurant
Saffron Persian Kitchen and Bar,ChIJ10sH15rxBFMRI9YTad4gIlY,https://saffron-restaurant.ca/,(306) 914-8965,"1013 Broadway Ave, Saskatoon, SK S7N 1C1, Canada",4.8,406,Persian Restaurant,restaurant
Philthy Philly's- Saskatoon,ChIJm2-Y5d73BFMR6kNr4fQD-II,https://philthyphillys.order-online.ai/#/?service=takeout&restoCode=PP030,(306) 954-1107,"107 Confederation Dr #21, Saskatoon, SK S7L 5C3, Canada",4.6,285,Restaurant,restaurant
Boyes Group Realty Inc.,ChIJZbm30cH2BFMRilSKgB7lTpY,https://boyesgrouprealty.com/,(306) 653-2213,"714 Duchess St, Saskatoon, SK S7K 0R3, Canada",4.7,121,Real Estate Agency,real-estate
