id,severity,area,state,recommended_action,blocks_ga
PEOS-SEC-001,BLOCKER,auth,BROKEN,PATCH,YES
PEOS-SEC-002,BLOCKER,tenancy,BROKEN,REDESIGN,YES
PEOS-SEC-003,BLOCKER,tenancy,BROKEN,REBUILD,YES
PEOS-SEC-004,CRITICAL,quota,BROKEN,PATCH,YES
PEOS-SEC-006,BLOCKER,public token,BROKEN,REMOVE,YES
PEOS-AUDIT-001,BLOCKER,audit cache,BROKEN,REDESIGN,YES
PEOS-AUDIT-003,CRITICAL,audit states,PARTIALLY_IMPLEMENTED,REFACTOR,YES
PEOS-AUDIT-005,CRITICAL,data,BROKEN,REDESIGN,YES
PEOS-AUDIT-006,HIGH,evidence,PARTIALLY_IMPLEMENTED,REDESIGN,YES
PEOS-COM-001,BLOCKER,billing/fulfillment,PARTIALLY_IMPLEMENTED,REDESIGN,YES
PEOS-COM-003,BLOCKER,fulfillment,EXTERNAL_GATE,REBUILD,YES
PEOS-CI-002,HIGH,build,BROKEN,REFACTOR,YES
PEOS-TEST-001,HIGH,test environment,BLOCKED,EXTERNAL_GATE,YES
PEOS-PROV-001,HIGH,provenance,BLOCKED,EXTERNAL_GATE,YES
PEOS-INFRA-002,HIGH,restore,NOT_EVIDENCED,EXTERNAL_GATE,YES
